"UUID","source_cat","country","period","case_definition_original","metadata_description","metadata_url","metadata_steps"
"WHOWPRO-ALL-2019-W01-01","WHOWPRO","ALL","20142025","Cambodia: DF, DHF and DSS cases reported; Malaysia: dengue cases reported; New caledonia: syndromic and confirmed dengue cases reported","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2019-W01-03","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2020-W01-03","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2020-W01-05","WHOWPRO","ALL","20142025","Number of dengue admission cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2020-W01-51","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2021-W01-03","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2021-W01-53","WHOWPRO","ALL","20142025","New caledonia: total cases (confirmed, probable, suspected); Wallis and Futuna: confirmed local cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2022-W01-03","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2022-W01-05","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2022-W01-29","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2023-W01-01","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://apps.who.int/iris/handle/10665/137517/discover?rpp=10&etal=0&query=dengue&group_by=none&page=2",NA
"WHOWPRO-ALL-2023-W01-662","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-663","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-667","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-668","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-670","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-671","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-672","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-673","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-674","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-675","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-676","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-677","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-678","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-679","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-680","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-681","WHOWPRO","ALL","20142025","dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-682","WHOWPRO","ALL","20142025","dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-683","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-684","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-685","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-686","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2023-W01-687","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Archives > Dengue situation updates 2023 > Download most recent 2023 report. Digitise figure 3"
"WHOWPRO-ALL-2024-W01-688","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2024-W01-689","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR section of report."
"WHOWPRO-ALL-2024-W01-690","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR section of report."
"WHOWPRO-ALL-2024-W01-691","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-693","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-694","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-695","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2024-W01-696","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR section of report."
"WHOWPRO-ALL-2024-W01-697","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-698","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-700","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-701","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-702","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR section of report."
"WHOWPRO-ALL-2024-W01-703","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-704","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-705","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-706","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-707","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-708","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-709","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-710","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-711","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR section of report."
"WHOWPRO-ALL-2024-W01-712","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2024-W01-713","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2024. Download report. Dengue total embedded in Lao PDR and Vietnam section of report."
"WHOWPRO-ALL-2025-W01-714","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2025. Download report. Digitise figure 3 (Lao PDR) and figure 1 (Cambodia); Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2025-W01-715","WHOWPRO","ALL","20142025","Dengue cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2025. Download report. Dengue total embedded in Vietnam section of report."
"WHOWPRO-ALL-2025-W01-720","WHOWPRO","ALL","20142025","Cases","WHO WPRO weekly dengue situational reports","https://www.who.int/westernpacific/wpro-emergencies/surveillance/dengue","Dengue situation updates 2023. Download report. Dengue total embedded in China section of report."
"WHOWPRO-PICs-2017-Y01-00","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2018-Y01-01","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2019-Y01-02","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2020-Y01-03","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2021-Y01-04","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2022-Y01-05","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2023-Y01-06","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","go to https://reliefweb.int/updates > ""Pacific Syndromic Surveillance System Weekly Bulletin"" > advanced search (posting date)",NA
"WHOWPRO-PICs-2024-W01-00","WHOWPRO","PICs","20172024","Dengue-like illness","Pacific Syndromic Surveillance System","https://www.pphsn.net/reports/pacific-syndromic-surveillance/",NA
"WHOSEARO-ALL-19852009-Y01-00","WHOSEARO","ALL","19852009","Reported number of dengue cases","Comprehensive Guideline for Prevention and Control of Dengue and Dengue Haemorrhagic Fever (WHO SEARO)","https://apps.who.int/iris/handle/10665/204894","p. 6"
"WHOSEARO-ALL-2022-W02-12","WHOSEARO","ALL","2022","Number of Dengue Cases","WHO SEARO Epidemiological Bulletin","https://cdn.who.int/media/docs/default-source/searo/whe/wherepib/2024_12_searo_epi_bulletin2.pdf","Figure 7 on page 9"
"WHOSEARO-ALL-2024-Y03-00","WHOSEARO","ALL","2024","Number of reported total dengue cases","WHO SEARO Dengue Dashboard","https://searo-cds-dashboard.shinyapps.io/searo-dengue-dashboard/#","Country Profile > scraped from ""cases by month"""
"WHOSEARO-IDN-2024-Y01-00","WHOSEARO","Indonesia","2024","Number of reported total dengue cases","WHO SEARO Dengue Dashboard (Provinces data)","https://searo-cds-dashboard.shinyapps.io/searo-dengue-dashboard/#","Country Profile > scraped from ""Provinces data"""
"WHOSEARO-IDN-2024-Y01-01","WHOSEARO","Indonesia","2024","Number of reported total dengue cases","WHO SEARO Dengue Dashboard (Provinces data)","https://searo-cds-dashboard.shinyapps.io/searo-dengue-dashboard/#","Country Profile > scraped from ""Provinces data"""
"WHOSEARO-IDN-2024-Y01-02","WHOSEARO","Indonesia","2024","Number of reported total dengue cases","WHO SEARO Dengue Dashboard (Provinces data)","https://searo-cds-dashboard.shinyapps.io/searo-dengue-dashboard/#","Country Profile > scraped from ""Provinces data"""
"WHOSEARO-IDN-2024-Y01-03","WHOSEARO","Indonesia","2024","Number of reported total dengue cases","WHO SEARO Dengue Dashboard (Provinces data)","https://searo-cds-dashboard.shinyapps.io/searo-dengue-dashboard/#","Country Profile > scraped from ""Provinces data"""
"WHOSEARO-SAU-19952002-Y01-00","WHOSEARO","Saudi Arabia","19952002","Suspected and Confirmed cases","WHO SEARO Dengue Bulletin","https://www.researchgate.net/profile/Sumodan-Pk/publication/236898377_Potential_of_rubber_plantations_as_breeding_source_for_Aedes_albopictus_in_Kerala_India/links/0046351a1d571e6a31000000/Potential-of-rubber-plantations-as-breeding-source-for-Aedes-albopictus-in-Kerala-India.pdf#page=22","https://www.researchgate.net/profile/Sumodan-Pk/publication/236898377_Potential_of_rubber_plantations_as_breeding_source_for_Aedes_albopictus_in_Kerala_India/links/0046351a1d571e6a31000000/Potential-of-rubber-plantations-as-breeding-source-for-Aedes-albopictus-in-Kerala-India.pdf#page=22"
"WHOPAHO-ALL-19802024-Y03-00","WHOPAHO","ALL","19802024","Suspected + probable + confirmed, non-severe& severe","PAHO PLISA system (annual count)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","paho>national>annual tab>select all years > data"
"WHOPAHO-ALL-19802024-Y03-01","WHOPAHO","ALL","19802024","Suspected + probable + confirmed, non-severe& severe","PAHO PLISA system (annual count)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","paho>national>annual tab>select all years > data"
"WHOPAHO-ALL-20142022-W01-01","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-02","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-03","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-04","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-05","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-06","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-07","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-08","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-09","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-10","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-11","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
"WHOPAHO-ALL-20142022-W01-12","WHOPAHO","ALL","20142022","Suspected + probable + confirmed, non-severe & severe","PAHO PLISA system weekly (converted cumulative to incident)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html","countries=all, year=all, select all rows, download=data, download all rows as text file in pop-up"
